division,district,private_hatchery_count,major_carp_kg,exotic_carp_kg,pangas_kg,thai_punti_kg,bata_kg,koi_kg,shingi_magur_kg,other_kg,total_hatchling_kg,tilapia_juvenile_lakh,source,source_year,data_status
Dhaka,Dhaka,6,3800,1000,0,280,420,0,0,300,5800,0,"Department of Fisheries, Yearbook of Fisheries Statistics of Bangladesh 2023-24, Table 3.38",2023-24,Official district statistics; not individual hatchery records
Dhaka,Faridpur,2,550,320,0,150,400,0,0,0,1420,0,"Department of Fisheries, Yearbook of Fisheries Statistics of Bangladesh 2023-24, Table 3.38",2023-24,Official district statistics; not individual hatchery records
Dhaka,Gazipur,6,825,485,0,140,60,0,0,0,1510,538,"Department of Fisheries, Yearbook of Fisheries Statistics of Bangladesh 2023-24, Table 3.38",2023-24,Official district statistics; not individual hatchery records
Dhaka,Gopalganj,1,170,80,0,25,18,0,0,0,293,0,"Department of Fisheries, Yearbook of Fisheries Statistics of Bangladesh 2023-24, Table 3.38",2023-24,Official district statistics; not individual hatchery records
Dhaka,Kishoreganj,9,2665,1460,50,500,40,110,280,520,5625,10,"Department of Fisheries, Yearbook of Fisheries Statistics of Bangladesh 2023-24, Table 3.38",2023-24,Official district statistics; not individual hatchery records
Dhaka,Madaripur,1,110,12,0,20,30,0,0,0,172,0,"Department of Fisheries, Yearbook of Fisheries Statistics of Bangladesh 2023-24, Table 3.38",2023-24,Official district statistics; not individual hatchery records
Dhaka,Manikganj,4,1950,579,0,15,661,0,0,501,3706,0,"Department of Fisheries, Yearbook of Fisheries Statistics of Bangladesh 2023-24, Table 3.38",2023-24,Official district statistics; not individual hatchery records
