mapping_id,farm_id,farm_name,division,district,upazila,fish_species,service_type,source,source_year,verification_status
40,40,"F.S.M.F, Gobindaganj, Gaibandha",Rangpur,Gaibandha,Gobindaganj,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
41,41,"F.S.M.F, Saidpur, Nilphamari",Rangpur,Dinajpur,Saidpur,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
42,42,"F.S.M.F, Thakurgaon Sadar, Thakurgaon",Rangpur,Dinajpur,Thakurgaon Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
43,43,"F.S.M.F, Kaharole, Dinajpur",Rangpur,Dinajpur,Kaharole,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
44,44,"F.S.M.F, Setabganj, Dinajpur",Rangpur,Dinajpur,Setabganj,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
45,45,"F.S.M.F, Pulhat, Dinajpur",Rangpur,Dinajpur,Parbatipur,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
46,46,"F.S.M.F, Charkai, Birampur, Dinajpur",Rangpur,Dinajpur,Birampur,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
47,47,"F.S.M.F, Birganj, Dinajpur",Rangpur,Dinajpur,Birganj,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
48,48,"F.S.M.F, Golapganj, Sylhet",Sylhet,Sylhet,Golapganj,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
49,49,"F.S.M.F, Khadimnagar, Sylhet",Sylhet,Sylhet,Khadimnagar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
50,50,"F.S.M.F, Moulvibazar Sadar, Moulvibazar",Sylhet,Moulvibazar,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
51,51,"Fish Hatchery Complex, Shantiganj, Sunamganj",Sylhet,Sunamganj,Shantiganj,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
52,52,"F.S.M.F, Jangalia, Cumilla",Chattogram,Cumilla,Jangalia,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
53,53,"F.S.M.F, Burichang, Cumilla",Chattogram,Cumilla,Burichang,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
54,54,"F.S.M.F, Choddogram, Cumilla",Chattogram,Cumilla,Choddogram,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
55,55,"F.S.M.F, Chandina, Cumilla",Chattogram,Cumilla,Chandina,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
56,56,"F.S.M.F, Mandari, Lakshmipur Sadar, Lakshmipur",Chattogram,Lakshmipur,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
57,57,"F.S.M.F, Feni Sadar, Feni",Chattogram,Feni,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
58,58,"F.S.M.F, Sonagazi, Feni",Chattogram,Feni,Sonagazi,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
59,59,"F.S.M.F, Chhagalnaiya, Feni",Chattogram,Feni,Chhagalnaiya,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
60,60,"F.S.M.F, Chowmuhani, Begumganj, Noakhali",Chattogram,Noakhali,Begumganj,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
61,61,"F.S.M.F, Mirsharai, Chattogram",Chattogram,Chattogram,Mirsharai,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
62,62,"F.S.M.F, Patiya, Chattogram",Chattogram,Chattogram,Patiya,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
63,63,"F.S.M.F, Kachua, Chandpur",Chattogram,Chandpur,Kachua,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
64,64,"Shrimp Demonstration Firm Teknaf, Cox's Bazar",Chattogram,Cox's Bazar,Teknaf,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
65,65,"F.S.M.F, Ramrail, Brahmanbaria",Chattogram,Brahmanbaria,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
66,66,"Jiol F.S.M.F, Kasba, Brahmanbaria",Chattogram,Brahmanbaria,Kasba,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
67,67,"F.S.M.F, Kawkhali, Rangamati",Chattogram,Rangamati,Kawkhali,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
68,68,"F.S.M.F Sadar, Khagrachhari",Chattogram,Khagrachhari,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
69,69,"F.S.M.F, Sadar, Pirojpur",Barishal,Pirojpur,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
70,70,"F.S.M.F, Jhalokati Sadar, Jhalokati",Barishal,Jhalokati,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
71,71,"F.S.M.F, Barguna Sadar, Barguna",Barishal,Barguna,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
72,72,"F.S.M.F, Patuakhali Sadar, Patuakhali",Barishal,Patuakhali,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
73,73,"F.S.M.F, Bhola Sadar, Bhola",Barishal,Bhola,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
74,74,"F.S.M.F Charkachhopia, Charfesson, Bhola",Barishal,Bhola,Charfesson,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
75,75,"TEST Hatchery",Dhaka,Gazipur,Tongi,রুই,মাছ / পোনা,Test data,2026,TEST
